"Gemeinde";"Erkrankte";"Hospitalisierte";"Geheilte";"datum"
"Görlitz";10;1;5;2020-04-06 11:00:00
"Oppach";3;NA;1;2020-04-06 11:00:00
"Vierkirchen";4;NA;2;2020-04-06 11:00:00
"Reichenbach/O.L.";5;1;1;2020-04-06 11:00:00
"Weißwasser/O.L.";10;2;2;2020-04-06 11:00:00
"Königshain";1;NA;1;2020-04-06 11:00:00
"Zittau";4;NA;NA;2020-04-06 11:00:00
"Krauschwitz";22;2;2;2020-04-06 11:00:00
"Niesky";61;7;1;2020-04-06 11:00:00
"Kreba-Neudorf";1;NA;1;2020-04-06 11:00:00
"Beiersdorf";4;NA;NA;2020-04-06 11:00:00
"Ebersbach-Neugersdorf";2;NA;1;2020-04-06 11:00:00
"Neusalza-Spremberg";1;NA;NA;2020-04-06 11:00:00
"Rothenburg/O.L.";6;NA;NA;2020-04-06 11:00:00
"Mücka";1;NA;NA;2020-04-06 11:00:00
"Kodersdorf";1;NA;NA;2020-04-06 11:00:00
"Boxberg/O.L.";8;1;1;2020-04-06 11:00:00
"Bernstadt a. d. Eigen";3;1;NA;2020-04-06 11:00:00
"Gablenz";2;NA;NA;2020-04-06 11:00:00
"Kottmar";2;NA;NA;2020-04-06 11:00:00
"Waldhufen";3;1;NA;2020-04-06 11:00:00
"Lawalde";2;NA;NA;2020-04-06 11:00:00
"Löbau";10;1;NA;2020-04-06 11:00:00
"Neißeaue";1;NA;NA;2020-04-06 11:00:00
"Mittelherwigsdorf";2;2;NA;2020-04-06 11:00:00
"Hähnichen";2;2;NA;2020-04-06 11:00:00
"Quitzdorf am See";2;NA;NA;2020-04-06 11:00:00
"Hohendubrau";1;NA;NA;2020-04-06 11:00:00
"Rietschen";1;NA;NA;2020-04-06 11:00:00
"Görlitz";9;1;5;2020-04-05 19:00:00
"Oppach";3;NA;1;2020-04-05 19:00:00
"Vierkirchen";4;NA;2;2020-04-05 19:00:00
"Reichenbach/O.L.";5;1;1;2020-04-05 19:00:00
"Weißwasser/O.L.";10;2;2;2020-04-05 19:00:00
"Königshain";1;NA;1;2020-04-05 19:00:00
"Zittau";4;NA;NA;2020-04-05 19:00:00
"Krauschwitz";22;2;2;2020-04-05 19:00:00
"Niesky";53;2;1;2020-04-05 19:00:00
"Kreba-Neudorf";1;NA;1;2020-04-05 19:00:00
"Beiersdorf";3;NA;NA;2020-04-05 19:00:00
"Ebersbach-Neugersdorf";2;NA;1;2020-04-05 19:00:00
"Neusalza-Spremberg";2;NA;NA;2020-04-05 19:00:00
"Rothenburg/O.L.";7;NA;NA;2020-04-05 19:00:00
"Mücka";1;NA;NA;2020-04-05 19:00:00
"Kodersdorf";1;NA;NA;2020-04-05 19:00:00
"Boxberg/O.L.";7;NA;1;2020-04-05 19:00:00
"Bernstadt a. d. Eigen";3;1;NA;2020-04-05 19:00:00
"Gablenz";2;NA;NA;2020-04-05 19:00:00
"Kottmar";2;NA;NA;2020-04-05 19:00:00
"Waldhufen";3;1;NA;2020-04-05 19:00:00
"Lawalde";2;NA;NA;2020-04-05 19:00:00
"Löbau";12;1;NA;2020-04-05 19:00:00
"Neißeaue";1;NA;NA;2020-04-05 19:00:00
"Mittelherwigsdorf";2;2;NA;2020-04-05 19:00:00
"Hähnichen";1;1;NA;2020-04-05 19:00:00
"Quitzdorf am See";2;NA;NA;2020-04-05 19:00:00
"Hohendubrau";1;NA;NA;2020-04-05 19:00:00
"Rietschen";1;NA;NA;2020-04-05 19:00:00
"Görlitz";9;1;5;2020-04-04 17:00:00
"Oppach";3;NA;1;2020-04-04 17:00:00
"Vierkirchen";3;NA;2;2020-04-04 17:00:00
"Reichenbach/O.L.";5;1;1;2020-04-04 17:00:00
"Weißwasser/O.L.";8;2;2;2020-04-04 17:00:00
"Königshain";1;NA;1;2020-04-04 17:00:00
"Zittau";4;NA;NA;2020-04-04 17:00:00
"Krauschwitz";21;2;2;2020-04-04 17:00:00
"Niesky";56;2;1;2020-04-04 17:00:00
"Kreba-Neudorf";1;NA;1;2020-04-04 17:00:00
"Beiersdorf";3;NA;NA;2020-04-04 17:00:00
"Ebersbach-Neugersdorf";2;NA;1;2020-04-04 17:00:00
"Neusalza-Spremberg";2;NA;NA;2020-04-04 17:00:00
"Rothenburg/O.L.";6;NA;NA;2020-04-04 17:00:00
"Mücka";1;NA;NA;2020-04-04 17:00:00
"Kodersdorf";1;NA;NA;2020-04-04 17:00:00
"Boxberg/O.L.";7;NA;1;2020-04-04 17:00:00
"Bernstadt a. d. Eigen";3;1;NA;2020-04-04 17:00:00
"Gablenz";2;NA;NA;2020-04-04 17:00:00
"Kottmar";2;NA;NA;2020-04-04 17:00:00
"Waldhufen";2;1;NA;2020-04-04 17:00:00
"Lawalde";2;NA;NA;2020-04-04 17:00:00
"Löbau";11;1;NA;2020-04-04 17:00:00
"Neißeaue";1;NA;NA;2020-04-04 17:00:00
"Mittelherwigsdorf";3;2;NA;2020-04-04 17:00:00
"Hähnichen";1;1;NA;2020-04-04 17:00:00
"Quitzdorf am See";1;NA;NA;2020-04-04 17:00:00
"Hohendubrau";1;NA;NA;2020-04-04 17:00:00
"Görlitz";9;1;5;2020-04-03 09:00:00
"Oppach";3;1;1;2020-04-03 09:00:00
"Vierkirchen";2;NA;2;2020-04-03 09:00:00
"Reichenbach/O.L.";5;1;1;2020-04-03 09:00:00
