"Gemeinde";"Einwohnerzahl"
"Bad Muskau";3716
"Beiersdorf";1126
"Bernstadt a. d. Eigen";3362
"Bertsdorf-Hörnitz";2113
"Boxberg/O.L.";4425
"Dürrhennersdorf";985
"Ebersbach-Neugersdorf";11994
"Gablenz";1592
"Görlitz";56324
"Groß Düben";1070
"Großschönau";5465
"Großschweidnitz";1287
"Hähnichen";1249
"Hainewalde";1497
"Herrnhut";5922
"Hohendubrau";1887
"Horka";1730
"Jonsdorf";1546
"Kodersdorf";2436
"Königshain";1180
"Kottmar";7295
"Krauschwitz";3453
"Kreba-Neudorf";866
"Lawalde";1846
"Leutersdorf";3485
"Löbau";14643
"Markersdorf";3907
"Mittelherwigsdorf";3629
"Mücka";967
"Neißeaue";1705
"Neusalza-Spremberg";3337
"Niesky";9402
"Oderwitz";5094
"Olbersdorf";4704
"Oppach";2358
"Ostritz";2257
"Oybin";1374
"Quitzdorf am See";1264
"Reichenbach/O.L.";4957
"Rietschen";2539
"Rosenbach";1566
"Rothenburg/O.L.";4510
"Schleife";2436
"Schönau-Berzdorf a. d. Eigen";1484
"Schönbach";1101
"Schöpstal";2394
"Seifhennersdorf";3676
"Trebendorf";896
"Vierkirchen";1676
"Waldhufen";2365
"Weißkeißel";1291
"Weißwasser/O.L.";16130
"Zittau";25381
